Team,Opponent,Year,Date,W/L,W%,SRS,EXP,PTS,REB,AST,STL,BLK,TOV,TS%,3P%
Kansas State,Montana State,2023,2023-03-17,1,-0.017,13.61,0.84,2.7,3.5,5.4,2.7,1.9,-1.6,-0.013,-0.012
Kansas State,Kentucky,2023,2023-03-19,1,0.063,1.03,0.63,1.9,3.3,3.7,2.1,1.4,-3.0,0.010,-0.010
Kansas State,Michigan State,2023,2023-03-23,1,0.106,1.54,0.63,3.7,2.0,3.0,2.2,0.7,-4.1,0.008,-0.033
Kansas State,Florida Atlantic,2023,2023-03-25,0,-0.193,1.87,0.97,1.5,3.1,6.7,3.4,2.6,-2.4,0.008,-0.019
Kennesaw State,Xavier,2023,2023-03-17,0,0.029,-15.43,0.19,-5.5,-1.1,-2.7,-2.1,-3.2,-1.3,-0.012,-0.026
Kent State,Indiana,2023,2023-03-17,0,0.157,-7.41,0.20,-0.7,-0.7,-1.1,-0.3,-1.1,-2.2,-0.004,-0.028
Kentucky,Providence,2023,2023-03-17,1,0.000,1.87,0.14,-3.0,1.9,-0.4,-1.4,-1.7,0.3,-0.009,-0.006
Kentucky,Kansas State,2023,2023-03-19,0,-0.063,-1.03,-0.63,-1.9,1.7,-0.4,-1.5,-1.2,3.0,-0.010,0.010
Louisiana Lafayette,Tennessee,2023,2023-03-16,0,0.091,-16.57,0.18,9.1,8.1,8.1,6.1,5.9,1.0,0.046,0.059
Marquette,Vermont,2023,2023-03-17,1,0.127,15.44,-0.69,5.0,1.4,4.7,3.8,1.9,-2.9,0.003,-0.008
Marquette,Michigan State,2023,2023-03-19,0,0.211,2.82,-0.64,5.4,0.8,3.3,3.0,1.0,-2.9,0.027,-0.009
Maryland,West Virginia,2023,2023-03-16,1,0.061,-1.37,0.09,-6.9,-2.5,-4.2,-4.3,-3.1,2.5,-0.026,-0.020
Maryland,Alabama,2023,2023-03-18,0,-0.217,-8.61,0.18,-8.5,-4.3,-1.6,-3.3,-2.5,1.5,0.020,0.017
Memphis,Florida Atlantic,2023,2023-03-17,0,-0.147,0.58,1.15,4.1,4.7,7.0,4.7,4.4,-2.2,0.007,-0.014
Miami (FL),Drake,2023,2023-03-17,1,-0.013,6.14,-0.42,6.2,5.0,6.2,5.0,4.4,-0.6,0.028,0.013
Miami (FL),Indiana,2023,2023-03-19,1,0.115,-0.96,-0.21,3.8,1.8,3.0,2.0,1.6,-0.5,0.026,0.001
Miami (FL),Houston,2023,2023-03-24,1,-0.131,-8.22,-0.08,9.3,8.7,9.4,8.2,7.5,0.0,0.047,0.042
Miami (FL),Texas,2023,2023-03-26,1,0.017,-6.58,-0.08,2.6,2.2,3.8,2.8,2.0,1.9,0.015,0.016
Miami (FL),Connecticut,2023,2023-04-01,0,0.024,-8.97,0.19,4.2,6.2,6.6,4.3,4.1,0.9,0.025,0.022
Michigan State,Southern California,2023,2023-03-17,1,-0.075,1.19,0.41,-0.5,0.2,1.0,-0.8,0.3,2.0,0.012,0.019
Michigan State,Marquette,2023,2023-03-19,1,-0.211,-2.82,0.64,-5.4,-1.0,-1.3,-1.7,-1.3,2.9,-0.027,0.009
Michigan State,Kansas State,2023,2023-03-23,0,-0.106,-1.54,-0.63,-3.7,-0.1,-0.6,-2.3,-1.5,4.1,-0.008,0.033
Missouri,Utah State,2023,2023-03-16,1,-0.037,-2.82,0.05,2.6,1.6,4.3,4.6,2.4,-2.4,0.012,-0.012
Missouri,Princeton,2023,2023-03-18,0,0.003,6.65,0.67,4.7,1.6,5.4,5.0,2.7,-2.8,0.040,0.023
Montana State,Kansas State,2023,2023-03-17,0,0.017,-13.61,-0.84,-2.7,-2.0,-2.1,-1.9,-2.0,1.6,0.013,0.012
North Carolina Asheville,UCLA,2023,2023-03-16,0,-0.059,-23.85,0.65,4.3,5.4,5.0,5.1,4.8,-0.6,0.023,0.013
North Carolina State,Creighton,2023,2023-03-17,0,0.061,-5.33,0.65,1.8,2.9,1.6,2.1,2.1,-0.7,0.004,-0.014
Northern Kentucky,Houston,2023,2023-03-16,0,-0.265,-23.03,-0.25,-0.5,3.4,4.6,5.0,3.0,-1.7,0.019,0.043
Northwestern,Boise State,2023,2023-03-16,1,-0.071,0.90,-0.02,-3.1,0.3,0.1,0.5,-0.5,-0.3,-0.014,-0.007
Northwestern,UCLA,2023,2023-03-18,0,-0.197,-8.43,0.46,-2.2,2.1,1.8,2.7,1.7,1.1,-0.006,0.000
Oral Roberts,Duke,2023,2023-03-16,0,0.118,-7.28,0.95,9.0,6.3,5.0,3.7,4.2,0.4,0.025,0.036
Penn State,Texas A&M,2023,2023-03-16,1,-0.107,-0.72,0.09,0.5,1.1,1.1,-0.5,-0.1,4.4,0.013,0.029
Penn State,Texas,2023,2023-03-18,0,-0.136,-7.52,0.29,-2.7,-0.7,1.5,-0.5,-0.4,4.9,0.002,0.022
Pittsburgh,Iowa State,2023,2023-03-17,1,0.083,-4.77,-0.17,7.3,6.4,4.7,2.7,4.2,3.5,0.007,0.010
Pittsburgh,Xavier,2023,2023-03-19,0,-0.059,-5.44,0.23,-5.1,-0.3,-2.5,-3.2,-2.1,0.9,-0.015,-0.031
Princeton,Arizona,2023,2023-03-16,1,-0.099,-14.32,-0.02,-4.5,1.6,-0.9,-2.8,-1.4,1.6,-0.016,-0.019
Princeton,Missouri,2023,2023-03-18,1,-0.003,-6.65,-0.67,-4.7,-2.2,-3.6,-3.6,-2.5,2.8,-0.040,-0.023
Princeton,Creighton,2023,2023-03-24,0,0.088,-13.07,0.38,-0.4,3.0,0.8,-0.5,0.3,-0.6,-0.004,-0.013
Providence,Kentucky,2023,2023-03-17,0,0.000,-1.87,-0.14,3.0,5.6,3.1,2.0,2.8,-0.3,0.009,0.006
