Team,Opponent,Year,Date,W/L,W%,SRS,EXP,PTS,REB,AST,STL,BLK,TOV,TS%,3P%
Auburn,New Mexico State,2019,2019-03-21,1,-0.139,10.79,0.09,3.0,4.9,4.9,4.3,3.6,-1.9,0.017,0.027
Auburn,Kansas,2019,2019-03-23,1,0.008,2.49,0.75,1.3,-1.1,0.0,0.7,0.0,-1.6,0.027,0.018
Auburn,North Carolina,2019,2019-03-29,1,-0.075,-3.10,0.39,-5.3,-2.0,-2.1,-1.0,-2.2,-0.9,0.020,0.013
Auburn,Kentucky,2019,2019-03-31,1,-0.075,-0.59,1.01,4.0,4.5,3.7,3.8,3.0,-2.1,0.024,0.013
Auburn,Virginia,2019,2019-04-06,0,-0.163,-4.62,0.68,10.5,8.6,9.1,8.5,7.4,-4.6,0.031,0.019
Baylor,Syracuse,2019,2019-03-21,1,-0.012,-0.35,-0.08,1.8,1.2,0.3,0.6,1.6,1.2,0.007,0.012
Baylor,Gonzaga,2019,2019-03-23,0,-0.315,-14.41,-0.08,-6.5,4.1,3.5,1.7,2.6,-0.7,-0.015,0.009
Belmont,Maryland,2019,2019-03-21,0,0.156,-6.89,-0.14,12.0,8.1,7.9,4.1,4.4,-0.7,0.036,0.023
Bradley,Michigan State,2019,2019-03-21,0,-0.235,-25.01,0.64,-5.4,1.4,0.1,-0.3,0.5,-1.1,-0.003,0.001
Buffalo,Arizona State,2019,2019-03-22,1,0.215,5.28,0.50,2.1,1.2,0.4,-0.9,-1.0,0.2,-0.001,-0.018
Buffalo,Texas Tech,2019,2019-03-24,0,0.105,-7.23,0.39,11.5,9.6,9.1,6.2,6.4,0.0,0.013,-0.014
California Irvine,Kansas State,2019,2019-03-22,1,0.100,-9.69,0.20,5.3,5.8,2.7,1.7,2.7,1.5,-0.005,0.024
California Irvine,Oregon,2019,2019-03-24,0,0.200,-8.25,0.92,1.9,4.2,1.3,0.9,1.4,1.1,-0.015,0.028
Central Florida,Virginia Commonwealth,2019,2019-03-22,1,-0.039,1.41,0.26,2.0,2.0,2.6,1.0,2.3,3.1,0.014,0.044
Central Florida,Duke,2019,2019-03-24,0,-0.111,-13.53,0.48,-6.8,-1.0,-1.3,-2.0,-1.0,1.5,0.001,0.035
Cincinnati,Iowa,2019,2019-03-22,0,0.157,0.26,0.18,-8.9,-5.0,-6.8,-5.9,-4.8,0.6,-0.035,0.006
Colgate,Tennessee,2019,2019-03-22,0,-0.147,-20.32,-0.15,-2.9,0.8,1.9,0.2,0.7,-0.6,0.012,0.007
Duke,North Dakota State,2019,2019-03-22,1,0.294,30.91,0.13,2.5,1.6,-0.5,-0.5,-0.4,-3.4,-0.045,-0.060
Duke,Central Florida,2019,2019-03-24,1,0.111,13.53,-0.48,6.8,5.0,3.4,3.3,3.7,-1.5,-0.001,-0.035
Duke,Virginia Tech,2019,2019-03-29,1,0.103,7.62,-0.19,7.5,8.4,4.7,4.9,4.7,-0.9,-0.034,-0.057
Duke,Michigan State,2019,2019-03-31,0,0.029,1.97,0.09,4.0,6.2,3.3,2.8,3.3,-2.1,-0.008,-0.043
Fairleigh Dickinson,Gonzaga,2019,2019-03-21,0,-0.291,-33.88,0.00,-2.8,3.9,5.6,4.6,4.3,-2.0,0.012,0.042
Florida,Nevada,2019,2019-03-21,1,-0.320,-0.58,-1.17,-7.7,-2.3,-1.8,-0.3,-1.1,-1.2,-0.016,-0.015
Florida,Michigan,2019,2019-03-23,0,-0.265,-6.40,0.35,1.8,2.2,3.6,4.2,2.8,-2.8,0.019,0.009
Florida State,Vermont,2019,2019-03-21,1,-0.024,13.11,0.50,2.7,5.5,3.3,3.0,2.9,-1.8,-0.012,-0.019
Florida State,Murray State,2019,2019-03-23,1,-0.077,9.03,0.12,-4.4,0.9,0.2,0.1,-0.1,-0.7,-0.010,0.014
Florida State,Gonzaga,2019,2019-03-28,0,-0.115,-9.80,0.00,-5.2,3.8,2.7,2.1,2.2,-1.8,-0.017,0.000
Gardner Webb,Virginia,2019,2019-03-22,0,-0.230,-28.07,0.36,10.4,9.3,10.0,8.1,7.3,-2.7,0.027,0.017
Georgia State,Houston,2019,2019-03-22,0,-0.184,-16.47,0.03,6.7,5.8,7.2,7.5,7.3,-1.7,0.037,0.039
Gonzaga,Fairleigh Dickinson,2019,2019-03-21,1,0.291,33.88,0.00,2.8,-1.0,-1.2,-2.9,-2.4,2.0,-0.012,-0.042
Gonzaga,Baylor,2019,2019-03-23,1,0.315,14.41,0.08,6.5,2.2,1.2,-0.6,-0.8,0.7,0.015,-0.009
Gonzaga,Florida State,2019,2019-03-28,1,0.115,9.80,0.00,5.2,1.8,2.9,-0.1,0.1,1.8,0.017,0.000
Gonzaga,Texas Tech,2019,2019-03-30,0,0.103,5.00,0.14,10.1,5.7,6.9,3.4,4.2,1.7,0.025,0.002
Houston,Georgia State,2019,2019-03-22,1,0.184,16.47,-0.03,-6.7,-5.5,-6.3,-5.4,-5.6,1.7,-0.037,-0.039
Houston,Ohio State,2019,2019-03-24,1,0.336,5.02,0.35,0.5,1.0,-1.1,-2.5,-2.0,0.7,-0.020,-0.017
Houston,Kentucky,2019,2019-03-29,0,0.094,-2.52,0.77,-2.1,3.8,0.0,-1.5,-1.2,0.7,-0.024,-0.032
Iona,North Carolina,2019,2019-03-22,0,-0.287,-28.72,0.20,-3.2,2.0,0.9,1.5,0.4,0.8,0.019,0.010
Iowa,Cincinnati,2019,2019-03-22,1,-0.157,-0.26,-0.18,8.9,7.8,7.8,6.7,5.4,-0.6,0.035,-0.006
Iowa,Tennessee,2019,2019-03-24,0,-0.186,-7.28,-0.43,0.3,2.8,3.7,2.0,2.4,-0.7,0.009,-0.014
Iowa State,Ohio State,2019,2019-03-22,0,0.101,4.18,-0.16,4.8,1.8,2.6,1.4,1.7,0.6,0.012,0.016
Kansas,Northeastern,2019,2019-03-21,1,0.038,14.40,-0.83,-0.2,2.7,0.3,0.3,0.6,-1.6,-0.043,-0.017
Kansas,Auburn,2019,2019-03-23,0,-0.008,-2.49,-0.75,-1.3,2.1,1.2,1.2,0.8,1.6,-0.027,-0.018
Kansas State,California Irvine,2019,2019-03-22,0,-0.100,9.69,-0.20,-5.3,-1.7,0.0,-0.9,-2.3,-1.5,0.005,-0.024
Kentucky,Abilene Christian,2019,2019-03-21,1,0.000,23.34,-0.68,1.7,3.7,2.1,0.7,1.6,1.9,-0.013,-0.006
Kentucky,Wofford,2019,2019-03-23,1,-0.061,7.51,-0.61,-3.7,4.2,0.7,-0.2,0.7,0.0,-0.025,-0.019
Kentucky,Houston,2019,2019-03-29,1,-0.094,2.52,-0.77,2.1,4.5,3.6,2.2,3.2,-0.7,0.024,0.032
Kentucky,Auburn,2019,2019-03-31,0,0.075,0.59,-1.01,-4.0,-0.4,-1.5,-2.0,-1.5,2.1,-0.024,-0.013
Liberty,Mississippi State,2019,2019-03-22,1,0.127,-10.69,0.19,-6.3,-4.2,-3.4,-4.4,-5.0,1.2,-0.003,-0.021
Liberty,Virginia Tech,2019,2019-03-24,0,0.074,-14.01,0.33,-0.3,0.9,1.0,0.3,-0.6,0.4,-0.002,-0.014
Louisiana State,Yale,2019,2019-03-21,1,0.054,10.98,-0.06,-0.4,2.1,-0.1,0.7,0.4,-1.5,-0.004,-0.009
Louisiana State,Maryland,2019,2019-03-23,1,0.125,0.49,0.21,8.3,7.7,4.2,4.7,4.2,-2.6,0.021,-0.006
Louisiana State,Michigan State,2019,2019-03-29,0,-0.011,-8.43,0.15,5.5,7.6,4.5,5.3,4.7,-2.3,0.014,-0.019
Louisville,Minnesota,2019,2019-03-21,0,-0.012,4.76,0.08,1.5,1.2,-0.3,-1.2,-1.2,-0.1,0.006,0.003
Marquette,Murray State,2019,2019-03-21,0,-0.144,5.82,0.04,-2.0,2.3,1.7,0.1,1.0,0.4,-0.004,0.037
Maryland,Belmont,2019,2019-03-21,1,-0.156,6.89,0.14,-12.0,-2.2,-3.8,-5.1,-3.6,0.7,-0.036,-0.023
Maryland,Louisiana State,2019,2019-03-23,0,-0.125,-0.49,-0.21,-8.3,-1.3,-3.1,-4.8,-3.0,2.6,-0.021,0.006
Michigan,Montana,2019,2019-03-21,1,0.059,20.32,-0.61,-8.4,-3.1,-3.6,-4.9,-4.5,2.4,-0.058,-0.041
Michigan,Florida,2019,2019-03-23,1,0.265,6.40,-0.35,-1.8,-2.3,-1.2,-2.7,-2.1,2.8,-0.019,-0.009
Michigan,Texas Tech,2019,2019-03-28,0,0.017,-0.97,-0.42,-2.2,0.5,1.4,-0.7,0.1,3.4,-0.018,-0.015
Michigan State,Bradley,2019,2019-03-21,1,0.235,25.01,-0.64,5.4,3.5,3.1,-0.3,1.2,1.1,0.003,-0.001
Michigan State,Minnesota,2019,2019-03-23,1,0.206,12.41,-0.49,1.3,0.6,0.4,-2.5,-1.7,0.1,0.006,0.019
Michigan State,Louisiana State,2019,2019-03-29,1,0.011,8.43,-0.15,-5.5,-0.9,-0.7,-4.7,-3.0,2.3,-0.014,0.019
Michigan State,Duke,2019,2019-03-31,1,-0.029,-1.97,-0.09,-4.0,1.1,1.5,-2.0,-0.4,2.1,0.008,0.043
Michigan State,Texas Tech,2019,2019-04-06,0,0.017,2.14,-0.23,5.1,6.5,7.0,2.3,4.2,2.3,0.007,0.016
Minnesota,Louisville,2019,2019-03-21,1,0.012,-4.76,-0.08,-1.5,1.5,2.0,0.1,0.8,0.1,-0.006,-0.003
Minnesota,Michigan State,2019,2019-03-23,0,-0.206,-12.41,0.49,-1.3,4.6,3.4,1.6,2.7,-0.1,-0.006,-0.019
Mississippi,Oklahoma,2019,2019-03-22,0,0.031,-2.98,-0.49,3.4,0.1,2.4,1.7,1.4,-1.6,0.040,0.027
Mississippi State,Liberty,2019,2019-03-22,0,-0.127,10.69,-0.19,6.3,7.0,6.5,5.9,5.7,-1.2,0.003,0.021
Montana,Michigan,2019,2019-03-21,0,-0.059,-20.32,0.61,8.4,4.7,7.3,6.4,5.0,-2.4,0.058,0.041
Murray State,Marquette,2019,2019-03-21,1,0.144,-5.82,-0.04,2.0,1.5,2.2,-0.3,0.1,-0.4,0.004,-0.037
Murray State,Florida State,2019,2019-03-23,0,0.077,-9.03,-0.12,4.4,2.9,4.5,1.6,1.3,0.7,0.010,-0.014
Nevada,Florida,2019,2019-03-21,0,0.320,0.58,1.17,7.7,3.1,3.5,1.7,2.1,1.2,0.016,0.015
New Mexico State,Auburn,2019,2019-03-21,0,0.139,-10.79,-0.09,-3.0,-0.6,-0.9,-2.2,-2.7,1.9,-0.017,-0.027
North Carolina,Iona,2019,2019-03-22,1,0.287,28.72,-0.20,3.2,1.8,0.5,-0.6,-1.6,-0.8,-0.019,-0.010
North Carolina,Washington,2019,2019-03-24,1,0.053,11.93,-0.10,12.2,9.0,7.0,4.7,4.6,1.3,0.006,0.007
North Carolina,Auburn,2019,2019-03-29,0,0.075,3.10,-0.39,5.3,6.6,5.5,2.9,2.1,0.9,-0.020,-0.013
North Dakota State,Duke,2019,2019-03-22,0,-0.294,-30.91,-0.13,-2.5,0.4,1.9,1.5,2.1,3.4,0.045,0.060
Northeastern,Kansas,2019,2019-03-21,0,-0.038,-14.40,0.83,0.2,-1.4,0.9,0.2,-0.3,1.6,0.043,0.017
Northern Kentucky,Texas Tech,2019,2019-03-22,0,-0.042,-18.12,-0.36,7.6,6.8,8.3,4.7,5.5,0.8,0.027,0.007
Ohio State,Iowa State,2019,2019-03-22,1,-0.101,-4.18,0.16,-4.8,-0.9,-0.1,-0.6,-1.0,-0.6,-0.012,-0.016
Ohio State,Houston,2019,2019-03-24,0,-0.336,-5.02,-0.35,-0.5,3.3,4.6,2.9,2.7,-0.7,0.020,0.017
Oklahoma,Mississippi,2019,2019-03-22,1,-0.031,2.98,0.49,-3.4,0.8,-2.1,-1.6,-1.7,1.6,-0.040,-0.027
Oklahoma,Virginia,2019,2019-03-24,0,-0.313,-10.16,0.93,6.0,9.7,8.0,6.6,6.2,-2.1,-0.011,-0.002
Old Dominion,Purdue,2019,2019-03-21,0,0.046,-17.66,0.06,-8.8,0.2,-3.2,-3.0,-2.9,-0.4,-0.052,-0.022
Oregon,Wisconsin,2019,2019-03-22,1,-0.040,-3.95,-0.54,0.9,-0.3,1.7,1.5,0.4,-2.2,0.022,-0.017
Oregon,California Irvine,2019,2019-03-24,1,-0.200,8.25,-0.92,-1.9,0.1,1.1,0.5,0.0,-1.1,0.015,-0.028
Oregon,Virginia,2019,2019-03-28,0,-0.249,-11.51,-0.22,2.3,5.3,5.3,4.4,3.9,-2.9,-0.001,-0.022
Purdue,Old Dominion,2019,2019-03-21,1,-0.046,17.66,-0.06,8.8,4.8,4.9,3.9,4.0,0.4,0.052,0.022
Purdue,Villanova,2019,2019-03-23,1,-0.017,7.07,-0.33,1.4,2.1,0.3,0.4,0.8,-0.4,-0.003,0.011
Purdue,Tennessee,2019,2019-03-28,1,-0.134,-0.15,-0.62,-3.8,0.3,-0.1,-1.3,-0.5,0.4,-0.001,0.001
Purdue,Virginia,2019,2019-03-30,0,-0.188,-4.06,0.02,8.3,9.3,8.4,6.2,6.3,-1.7,0.018,0.016
Saint Louis,Virginia Tech,2019,2019-03-22,0,-0.093,-14.22,-0.19,-2.6,5.6,1.2,1.9,1.3,-0.3,-0.053,-0.052
Saint Mary's (CA),Villanova,2019,2019-03-21,0,-0.069,-1.75,-0.35,-2.2,-0.8,-3.4,-1.2,-1.4,0.7,-0.002,0.002
Seton Hall,Wofford,2019,2019-03-21,0,-0.273,-3.67,-0.18,-1.1,6.3,4.3,3.9,3.9,-0.9,-0.025,-0.036
Syracuse,Baylor,2019,2019-03-21,0,0.012,0.35,0.08,-1.8,0.5,-1.3,0.3,-0.6,-1.2,-0.007,-0.012
Tennessee,Colgate,2019,2019-03-22,1,0.147,20.32,0.15,2.9,2.7,2.2,-0.8,0.9,0.6,-0.012,-0.007
Tennessee,Iowa,2019,2019-03-24,1,0.186,7.28,0.43,-0.3,-0.7,-1.0,-2.4,-0.8,0.7,-0.009,0.014
Tennessee,Purdue,2019,2019-03-28,0,0.134,0.15,0.62,3.8,4.0,3.9,1.7,2.0,-0.4,0.001,-0.001
Texas Tech,Northern Kentucky,2019,2019-03-22,1,0.042,18.12,0.36,-7.6,-4.0,-4.0,-4.0,-4.2,-0.8,-0.027,-0.007
Texas Tech,Buffalo,2019,2019-03-24,1,-0.105,7.23,-0.39,-11.5,-7.1,-4.0,-4.7,-4.7,0.0,-0.013,0.014
Texas Tech,Michigan,2019,2019-03-28,1,-0.017,0.97,0.42,2.2,0.5,2.3,2.3,1.4,-3.4,0.018,0.015
Texas Tech,Gonzaga,2019,2019-03-30,1,-0.103,-5.00,-0.14,-10.1,-1.8,-0.8,-1.8,-1.4,-1.7,-0.025,-0.002
Texas Tech,Michigan State,2019,2019-04-06,1,-0.017,-2.14,0.23,-5.1,-1.6,-2.0,-2.2,-1.8,-2.3,-0.007,-0.016
Texas Tech,Virginia,2019,2019-04-08,0,-0.100,-2.67,0.21,2.4,3.8,4.1,2.9,2.8,-3.9,-0.005,-0.011
Utah State,Washington,2019,2019-03-22,0,0.059,-0.03,-0.53,5.6,3.9,3.1,1.2,2.0,2.3,0.008,0.012
Vermont,Florida State,2019,2019-03-21,0,0.024,-13.11,-0.50,-2.7,-1.1,-1.3,-2.1,-1.7,1.8,0.012,0.019
Villanova,Saint Mary's (CA),2019,2019-03-21,1,0.069,1.75,0.35,2.2,4.4,3.5,1.8,1.3,-0.7,0.002,-0.002
Villanova,Purdue,2019,2019-03-23,0,0.017,-7.07,0.33,-1.4,1.4,0.9,0.3,-0.4,0.4,0.003,-0.011
Virginia,Gardner Webb,2019,2019-03-22,1,0.230,28.07,-0.36,-10.4,-7.3,-6.8,-7.4,-6.7,2.7,-0.027,-0.017
Virginia,Oklahoma,2019,2019-03-24,1,0.313,10.16,-0.93,-6.0,-7.1,-5.2,-6.6,-6.0,2.1,0.011,0.002
Virginia,Oregon,2019,2019-03-28,1,0.249,11.51,0.22,-2.3,-2.1,-1.8,-2.9,-2.5,2.9,0.001,0.022
Virginia,Purdue,2019,2019-03-30,1,0.188,4.06,-0.02,-8.3,-4.2,-4.7,-5.3,-5.6,1.7,-0.018,-0.016
Virginia,Auburn,2019,2019-04-06,1,0.163,4.62,-0.68,-10.5,-6.6,-5.3,-6.4,-6.2,4.6,-0.031,-0.019
Virginia,Texas Tech,2019,2019-04-08,1,0.100,2.67,-0.21,-2.4,-0.8,0.6,-2.0,-1.0,3.9,0.005,0.011
Virginia Commonwealth,Central Florida,2019,2019-03-22,0,0.039,-1.41,-0.26,-2.0,-0.3,-0.7,-0.2,-0.4,-3.1,-0.014,-0.044
Virginia Tech,Saint Louis,2019,2019-03-22,1,0.093,14.22,0.19,2.6,-1.1,0.7,-0.5,-1.7,0.3,0.053,0.052
Virginia Tech,Liberty,2019,2019-03-24,1,-0.074,14.01,-0.33,0.3,1.3,2.9,1.0,0.1,-0.4,0.002,0.014
Virginia Tech,Duke,2019,2019-03-29,0,-0.103,-7.62,0.19,-7.5,-4.3,-1.6,-2.7,-3.4,0.9,0.034,0.057
Washington,Utah State,2019,2019-03-22,1,-0.059,0.03,0.53,-5.6,-1.1,-1.1,0.3,0.0,-2.3,-0.008,-0.012
Washington,North Carolina,2019,2019-03-24,0,-0.053,-11.93,0.10,-12.2,-5.4,-5.5,-3.1,-3.7,-1.3,-0.006,-0.007
Wisconsin,Oregon,2019,2019-03-22,0,0.040,3.95,0.54,-0.9,0.9,0.2,-0.3,0.4,2.2,-0.022,0.017
Wofford,Seton Hall,2019,2019-03-21,1,0.273,3.67,0.18,1.1,-3.4,-2.2,-2.7,-3.9,0.9,0.025,0.036
Wofford,Kentucky,2019,2019-03-23,0,0.061,-7.51,0.61,3.7,3.4,2.5,0.9,0.4,0.0,0.025,0.019
Yale,Louisiana State,2019,2019-03-21,0,-0.054,-10.98,0.06,0.4,2.3,2.8,-0.1,0.8,1.5,0.004,0.009
Alabama,Virginia Tech,2018,2018-03-15,1,-0.097,-2.01,-0.65,-4.6,0.0,-1.4,-0.3,-0.1,-1.2,-0.035,-0.041
Alabama,Villanova,2018,2018-03-17,0,-0.324,-14.30,-0.57,-7.0,1.7,-0.1,0.9,1.6,-2.0,-0.038,-0.032
Arizona,Buffalo,2018,2018-03-15,0,0.029,7.68,-0.09,-4.3,-2.3,-0.4,-2.7,-1.9,1.2,0.015,0.015
Arkansas,Butler,2018,2018-03-16,0,0.070,-2.16,0.76,2.3,2.5,2.4,2.1,2.2,0.1,-0.007,0.011
Auburn,College of Charleston,2018,2018-03-16,1,-0.007,14.14,-0.35,6.0,4.4,3.3,4.0,3.4,-2.7,-0.002,0.002
Auburn,Clemson,2018,2018-03-18,0,0.063,-1.19,-0.23,7.7,5.8,5.0,4.5,4.5,-1.9,0.015,-0.005
Bucknell,Michigan State,2018,2018-03-16,0,-0.143,-17.92,-0.14,4.5,7.3,5.3,3.9,5.0,-0.9,0.010,-0.029
Buffalo,Arizona,2018,2018-03-15,1,-0.029,-7.68,0.09,4.3,7.0,4.2,2.4,3.0,-1.2,-0.015,-0.015
Buffalo,Kentucky,2018,2018-03-17,0,0.059,-9.25,0.74,6.9,5.6,4.9,3.3,3.3,-0.7,0.022,0.020
Butler,Arkansas,2018,2018-03-16,1,-0.070,2.16,-0.76,-2.3,-2.5,-1.3,-0.6,-1.8,-0.1,0.007,-0.011
Butler,Purdue,2018,2018-03-18,0,-0.217,-6.49,-0.75,2.7,4.3,4.5,4.2,3.7,-1.1,0.012,-0.011
Cal State Fullerton,Purdue,2018,2018-03-16,0,-0.178,-24.34,-0.77,-1.8,3.6,2.6,2.9,2.7,-2.1,-0.012,-0.036
Cincinnati,Georgia State,2018,2018-03-16,1,0.176,17.03,-0.17,-5.1,-3.8,-3.6,-3.9,-3.9,0.1,-0.032,-0.032
Cincinnati,Nevada,2018,2018-03-18,0,0.088,5.81,-0.80,-12.0,-6.4,-6.4,-6.5,-6.5,-1.6,-0.050,-0.024
Clemson,New Mexico State,2018,2018-03-16,1,-0.130,8.10,-0.19,-0.1,2.6,2.8,1.3,2.1,1.3,0.018,0.037
Clemson,Auburn,2018,2018-03-18,1,-0.063,1.19,0.23,-7.7,-3.5,-3.5,-3.8,-2.9,1.9,-0.015,0.005
Clemson,Kansas,2018,2018-03-23,0,-0.075,-4.23,0.17,-6.8,-2.7,-2.8,-2.9,-2.4,0.4,-0.022,-0.008
College of Charleston,Auburn,2018,2018-03-16,0,0.007,-14.14,0.35,-6.0,-3.5,-3.1,-2.8,-2.2,2.7,0.002,-0.002
Creighton,Kansas State,2018,2018-03-16,0,-0.010,3.50,0.43,9.8,4.8,6.2,3.6,3.7,1.5,0.013,0.017
Davidson,Kentucky,2018,2018-03-15,0,-0.050,-6.22,0.88,-1.4,-1.6,0.8,-1.7,-2.0,2.3,0.040,0.041
Duke,Iona,2018,2018-03-15,1,0.182,23.68,-1.19,-1.0,-1.7,-2.2,-2.3,-2.4,0.3,-0.018,-0.025
Duke,Rhode Island,2018,2018-03-17,1,0.007,12.62,-1.21,4.6,3.8,3.3,1.4,1.4,0.9,-0.005,0.004
Duke,Syracuse,2018,2018-03-23,1,0.170,11.54,-0.64,11.8,6.8,3.7,3.5,3.9,0.3,0.029,0.028
Duke,Kansas,2018,2018-03-25,0,-0.006,3.04,-0.69,0.3,1.8,1.2,-0.2,-0.4,-0.1,-0.017,-0.021
Florida,St. Bonaventure,2018,2018-03-15,1,-0.163,7.79,-0.31,-1.4,-0.6,-1.1,0.1,-0.4,1.1,-0.015,0.007
Florida,Texas Tech,2018,2018-03-17,0,-0.102,-2.72,-0.34,2.8,3.6,3.7,2.7,2.8,1.8,0.001,0.020
Florida State,Missouri,2018,2018-03-16,1,0.020,1.97,-0.48,6.2,5.0,4.2,2.6,3.3,-0.9,0.002,-0.003
Florida State,Xavier,2018,2018-03-18,1,-0.203,-3.28,-0.48,-3.0,2.4,-0.5,-0.8,0.0,-1.6,-0.026,-0.001
Florida State,Gonzaga,2018,2018-03-22,1,-0.237,-2.66,-0.17,1.0,5.8,4.5,3.5,3.9,-1.7,-0.008,-0.007
Florida State,Michigan,2018,2018-03-24,0,-0.149,-3.25,0.00,8.1,7.2,7.3,6.2,5.9,-2.5,0.004,0.010
Georgia State,Cincinnati,2018,2018-03-16,0,-0.176,-17.03,0.17,5.1,6.2,6.4,6.1,5.8,-0.1,0.032,0.032
Gonzaga,North Carolina Greensboro,2018,2018-03-15,1,0.088,13.90,-0.52,7.8,7.3,5.3,2.3,3.3,2.6,0.017,0.025
Gonzaga,Ohio State,2018,2018-03-17,1,0.132,0.77,-0.23,3.7,4.2,1.7,0.7,0.6,0.1,0.005,0.007
Gonzaga,Florida State,2018,2018-03-22,0,0.237,2.66,0.17,-1.0,-0.2,-1.2,-2.4,-2.3,1.7,0.008,0.007
Houston,San Diego State,2018,2018-03-15,1,0.100,3.76,0.05,-1.7,1.5,-0.9,-1.5,-1.7,0.2,-0.002,0.023
Houston,Michigan,2018,2018-03-17,0,-0.006,-3.04,0.66,2.4,3.6,3.0,1.8,0.8,-1.5,-0.003,0.013
Iona,Duke,2018,2018-03-15,0,-0.182,-23.68,1.19,1.0,3.9,4.2,4.0,3.7,-0.3,0.018,0.025
Kansas,Pennsylvania,2018,2018-03-15,1,0.044,19.15,-0.39,4.3,1.3,4.9,2.1,2.1,-0.2,0.027,0.045
Kansas,Seton Hall,2018,2018-03-17,1,0.138,5.72,0.00,0.0,-0.1,0.8,-0.7,-0.6,0.4,0.009,0.016
Kansas,Clemson,2018,2018-03-23,1,0.075,4.23,-0.17,6.8,4.1,5.6,3.4,3.3,-0.4,0.022,0.008
Kansas,Duke,2018,2018-03-25,1,0.006,-3.04,0.69,-0.3,2.5,2.2,1.6,1.9,0.1,0.017,0.021
Kansas,Villanova,2018,2018-03-31,0,-0.088,-5.25,-0.17,-1.8,2.3,2.5,1.7,1.6,-0.5,-0.015,0.008
Kansas State,Creighton,2018,2018-03-16,1,0.010,-3.50,-0.43,-9.8,-5.8,-3.6,-2.6,-3.6,-1.5,-0.013,-0.017
Kansas State,Maryland Baltimore County,2018,2018-03-18,1,-0.039,14.87,-0.35,-1.8,-3.3,-0.2,-0.1,-0.6,0.5,0.005,-0.030
Kansas State,Kentucky,2018,2018-03-22,1,-0.039,-4.39,0.57,-4.5,-3.0,-1.1,-0.5,-1.9,-0.5,0.017,0.007
Kansas State,Loyola (IL),2018,2018-03-24,0,-0.182,2.48,-0.41,2.0,2.3,3.3,2.9,2.2,-0.4,-0.005,-0.024
Kentucky,Davidson,2018,2018-03-15,1,0.050,6.22,-0.88,1.4,4.7,1.5,1.6,2.3,-2.3,-0.040,-0.041
Kentucky,Buffalo,2018,2018-03-17,1,-0.059,9.25,-0.74,-6.9,-1.9,-2.2,-3.1,-2.5,0.7,-0.022,-0.020
Kentucky,Kansas State,2018,2018-03-22,0,0.039,4.39,-0.57,4.5,4.0,2.0,1.6,2.8,0.5,-0.017,-0.007
Lipscomb,North Carolina,2018,2018-03-16,0,0.004,-22.17,0.23,2.5,5.1,2.8,2.4,1.4,-3.4,0.014,-0.035
Loyola (IL),Miami (FL),2018,2018-03-15,1,0.139,-2.46,0.27,-3.8,-3.6,-1.5,-2.4,-3.2,-0.4,0.016,0.014
Loyola (IL),Tennessee,2018,2018-03-17,1,0.091,-7.83,0.54,-2.7,-2.5,0.8,-1.2,-2.0,0.4,0.022,0.011
Loyola (IL),Nevada,2018,2018-03-22,1,0.054,-4.07,-0.33,-10.8,-7.3,-4.0,-4.3,-5.5,-1.4,-0.003,0.005
Loyola (IL),Kansas State,2018,2018-03-24,1,0.182,-2.48,0.41,-2.0,-3.1,-0.6,-1.8,-2.3,0.4,0.005,0.024
Loyola (IL),Michigan,2018,2018-03-31,0,0.054,-8.66,0.54,-1.3,-0.7,2.5,0.7,-0.7,-1.5,0.015,0.017
Marshall,Wichita State,2018,2018-03-16,1,-0.075,-12.37,-0.35,4.3,6.4,6.9,4.2,5.0,-2.2,-0.005,-0.016
Marshall,West Virginia,2018,2018-03-18,0,0.000,-15.68,-0.02,6.6,5.5,7.1,5.5,5.7,0.2,0.009,-0.010
Maryland Baltimore County,Virginia,2018,2018-03-16,1,-0.234,-24.22,0.15,10.3,9.2,10.3,9.1,7.2,-2.9,0.026,0.019
Maryland Baltimore County,Kansas State,2018,2018-03-18,0,0.039,-14.87,0.35,1.8,1.1,2.2,1.7,0.7,-0.5,-0.005,0.030
Miami (FL),Loyola (IL),2018,2018-03-15,0,-0.139,2.46,-0.27,3.8,4.8,3.5,2.7,3.2,0.4,-0.016,-0.014
Michigan,Montana,2018,2018-03-15,1,0.006,12.74,-0.02,-4.4,-2.2,-0.5,-1.9,-3.0,2.9,-0.005,-0.006
Michigan,Houston,2018,2018-03-17,1,0.006,3.04,-0.66,-2.4,-0.3,0.8,-0.1,-0.6,1.5,0.003,-0.013
Michigan,Texas A&M,2018,2018-03-22,1,0.169,3.73,-0.14,-5.6,-4.6,-4.6,-3.8,-5.5,-0.6,0.017,0.027
Michigan,Florida State,2018,2018-03-24,1,0.149,3.25,0.00,-8.1,-5.7,-3.8,-4.5,-4.8,2.5,-0.004,-0.010
Michigan,Loyola (IL),2018,2018-03-31,1,-0.054,8.66,-0.54,1.3,1.8,1.7,0.3,0.3,1.5,-0.015,-0.017
Michigan,Villanova,2018,2018-04-02,0,-0.088,-7.61,-0.44,-10.0,-3.2,-3.0,-2.7,-3.2,0.7,-0.034,-0.017
Michigan State,Bucknell,2018,2018-03-16,1,0.143,17.92,0.14,-4.5,-1.3,-0.9,-5.3,-2.1,0.9,-0.010,0.029
