Team,Opponent,Year,Date,W/L,W%,SRS,EXP,PTS,REB,AST,STL,BLK,TOV,TS%,3PA/FGA,3P%
Kentucky,Providence,2023,2023-03-17,1,0.000,1.87,0.14,-2.8,1.3,0.5,-0.4,-0.8,0.1,-0.014,-0.020,0.001
Kentucky,Kansas State,2023,2023-03-19,0,-0.063,-1.03,-0.63,-1.7,4.8,-1.9,-1.6,0.9,-2.0,-0.024,-0.061,0.004
Louisiana Lafayette,Tennessee,2023,2023-03-16,0,0.091,-16.57,0.18,6.6,-1.9,-2.3,-1.1,-0.6,0.2,0.040,-0.077,0.047
Marquette,Vermont,2023,2023-03-17,1,0.127,15.44,-0.69,6.6,0.5,3.6,3.3,0.1,1.3,0.009,-0.010,-0.005
Marquette,Michigan State,2023,2023-03-19,0,0.211,2.82,-0.64,8.4,-3.9,2.7,4.5,0.0,-0.2,0.033,0.088,-0.040
Maryland,West Virginia,2023,2023-03-16,1,0.061,-1.37,0.09,-6.3,-0.3,-1.6,-1.2,0.6,-2.2,-0.014,0.007,-0.022
Maryland,Alabama,2023,2023-03-18,0,-0.217,-8.61,0.18,-12.1,-11.0,-3.6,-0.6,-1.4,-3.1,-0.013,-0.103,-0.007
Memphis,Florida Atlantic,2023,2023-03-17,0,-0.147,0.58,1.15,1.6,-3.0,1.2,2.1,1.9,1.5,-0.005,-0.151,-0.013
Miami (FL),Drake,2023,2023-03-17,1,-0.013,6.14,-0.42,4.3,-1.0,0.8,2.0,0.5,0.6,0.011,-0.028,-0.002
Miami (FL),Indiana,2023,2023-03-19,1,0.115,-0.96,-0.21,4.4,-1.0,-0.7,1.5,-2.0,-0.4,0.018,0.077,0.000
Miami (FL),Houston,2023,2023-03-24,1,-0.131,-8.22,-0.08,4.2,-4.2,-0.2,-0.6,-1.8,1.1,0.026,-0.038,0.028
Miami (FL),Texas,2023,2023-03-26,1,0.017,-6.58,-0.08,1.1,0.6,-1.7,-0.6,-0.5,-0.5,0.014,-0.003,0.021
Miami (FL),Connecticut,2023,2023-04-01,0,0.024,-8.97,0.19,0.5,-4.6,-3.0,1.0,-1.8,-1.8,0.006,-0.074,0.005
Michigan State,Southern California,2023,2023-03-17,1,-0.075,1.19,0.41,-1.6,0.4,1.1,-2.2,-2.1,-1.5,-0.002,0.000,0.048
Michigan State,Marquette,2023,2023-03-19,1,-0.211,-2.82,0.64,-8.4,3.9,-2.7,-4.5,0.0,0.2,-0.033,-0.088,0.040
Michigan State,Kansas State,2023,2023-03-23,0,-0.106,-1.54,-0.63,-5.3,1.1,-2.4,-3.3,0.2,-2.9,-0.014,-0.031,0.050
Missouri,Utah State,2023,2023-03-16,1,-0.037,-2.82,0.05,0.7,-5.3,-0.8,5.2,-0.6,-1.1,-0.017,0.006,-0.027
Missouri,Princeton,2023,2023-03-18,0,0.003,6.65,0.67,3.4,-8.8,2.5,5.3,-0.6,-0.9,0.026,0.014,0.018
Montana State,Kansas State,2023,2023-03-17,0,0.017,-13.61,-0.84,-2.3,-1.6,-4.5,-1.5,0.2,-1.9,0.011,-0.020,-0.007
North Carolina Asheville,UCLA,2023,2023-03-16,0,-0.059,-23.85,0.65,0.3,-0.5,-1.8,-2.1,0.2,4.2,0.039,0.084,0.039
North Carolina State,Creighton,2023,2023-03-17,0,0.061,-5.33,0.65,1.3,-0.4,-2.9,2.8,0.4,-2.2,-0.035,-0.046,-0.007
Northern Kentucky,Houston,2023,2023-03-16,0,-0.265,-23.03,-0.25,-7.1,-6.4,-1.3,1.5,-2.4,1.3,-0.029,0.033,0.002
Northwestern,Boise State,2023,2023-03-16,1,-0.071,0.90,-0.02,-4.4,-1.2,1.5,2.9,1.0,-1.5,-0.041,0.030,-0.041
Northwestern,UCLA,2023,2023-03-18,0,-0.197,-8.43,0.46,-6.4,-0.8,-1.7,-0.5,0.1,-0.4,-0.028,0.119,-0.028
Oral Roberts,Duke,2023,2023-03-16,0,0.118,-7.28,0.95,11.3,-1.9,0.1,1.1,0.9,-2.6,0.037,0.108,0.030
Penn State,Texas A&M,2023,2023-03-16,1,-0.107,-0.72,0.09,-0.6,-4.2,1.2,-2.3,-0.2,-3.3,0.028,0.127,0.061
Penn State,Texas,2023,2023-03-18,0,-0.136,-7.52,0.29,-5.8,-1.5,-2.5,-3.5,-1.5,-2.6,0.007,0.126,0.040
Pittsburgh,Iowa State,2023,2023-03-17,1,0.083,-4.77,-0.17,7.5,2.4,0.3,-3.7,1.2,-1.8,0.039,0.096,0.029
Pittsburgh,Xavier,2023,2023-03-19,0,-0.059,-5.44,0.23,-5.8,-1.6,-5.0,-1.3,0.9,-1.3,-0.015,0.123,-0.030
Princeton,Arizona,2023,2023-03-16,1,-0.099,-14.32,-0.02,-6.4,-0.3,-5.5,-1.2,0.2,-1.4,-0.038,0.041,-0.036
Princeton,Missouri,2023,2023-03-18,1,-0.003,-6.65,-0.67,-3.4,8.8,-2.5,-5.3,0.6,0.9,-0.026,-0.014,-0.018
Princeton,Creighton,2023,2023-03-24,0,0.088,-13.07,0.38,-0.9,2.0,-2.3,-0.1,-0.8,0.4,-0.021,0.001,-0.012
Providence,Kentucky,2023,2023-03-17,0,0.000,-1.87,-0.14,2.8,-1.3,-0.5,0.4,0.8,-0.1,0.014,0.020,-0.001
Purdue,Fairleigh Dickinson,2023,2023-03-17,0,0.282,27.21,-0.41,-4.7,4.3,0.8,-3.3,1.7,-0.4,0.011,0.004,-0.023
Saint Mary's (CA),Virginia Commonwealth,2023,2023-03-17,1,-0.006,7.52,-0.16,-0.2,2.1,-0.5,-2.1,-1.1,-2.7,-0.007,0.043,0.017
Saint Mary's (CA),Connecticut,2023,2023-03-19,0,0.030,-5.54,-0.01,-7.9,-4.0,-5.0,0.5,-1.4,-2.2,-0.024,-0.047,0.002
San Diego State,College of Charleston,2023,2023-03-16,1,-0.099,7.41,0.59,-8.9,-4.0,-0.8,-0.7,0.8,-0.3,-0.017,-0.132,0.017
San Diego State,Furman,2023,2023-03-18,1,0.018,10.92,0.36,-9.7,1.2,-3.8,0.1,0.7,0.6,-0.056,-0.119,0.004
San Diego State,Alabama,2023,2023-03-24,1,-0.040,-7.38,0.50,-10.6,-8.3,-2.1,0.6,-1.2,-2.2,-0.024,-0.127,0.013
San Diego State,Creighton,2023,2023-03-26,1,0.176,-2.02,0.97,-5.2,-0.7,-2.8,1.7,-0.2,0.0,-0.041,-0.072,-0.006
San Diego State,Florida Atlantic,2023,2023-04-01,1,-0.099,1.89,0.82,-6.6,-2.6,-1.5,0.2,1.3,-0.2,-0.039,-0.096,-0.018
San Diego State,Connecticut,2023,2023-04-03,0,0.055,-7.14,0.81,-7.4,-3.0,-4.6,0.4,-1.0,-1.3,-0.040,-0.072,-0.015
